2026-09-17 16:35:08,368 - JOB [full_46mb_job] | Action: watermark_remove_done | Time: 2026-09-17T16:35:08.368063 | Details: {'total_pages': 576, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_full_46mb_job.pdf'}
2026-09-17 16:35:48,441 - JOB [0ed427bb-d9ca-46b4-8090-753571a01315] | Action: compress_start_fallback | Time: 2026-09-17T16:35:48.441362 | Details: {'level': 'low', 'orig_size_mb': 12.72, 'engine': 'pymupdf_fallback'}
2026-09-17 16:35:52,855 - JOB [0ed427bb-d9ca-46b4-8090-753571a01315] | Action: compress_done | Time: 2026-09-17T16:35:52.855415 | Details: {'level': 'low', 'orig_mb': 12.72, 'compressed_mb': 7.83, 'duration_sec': 4.48}
2026-09-17 16:35:53,202 - JOB [00c5b0f0-9f46-41f5-a56e-379943f5d4ba] | Action: compress_start_fallback | Time: 2026-09-17T16:35:53.202808 | Details: {'level': 'medium', 'orig_size_mb': 12.72, 'engine': 'pymupdf_fallback'}
2026-09-17 16:35:56,949 - JOB [00c5b0f0-9f46-41f5-a56e-379943f5d4ba] | Action: compress_done | Time: 2026-09-17T16:35:56.949181 | Details: {'level': 'medium', 'orig_mb': 12.72, 'compressed_mb': 4.18, 'duration_sec': 3.84}
2026-09-17 16:35:57,260 - JOB [88ec7a42-12d5-419b-a1d0-331fc1258d2c] | Action: compress_start_fallback | Time: 2026-09-17T16:35:57.260334 | Details: {'level': 'high', 'orig_size_mb': 12.72, 'engine': 'pymupdf_fallback'}
2026-09-17 16:36:00,881 - JOB [88ec7a42-12d5-419b-a1d0-331fc1258d2c] | Action: compress_done | Time: 2026-09-17T16:36:00.881324 | Details: {'level': 'high', 'orig_mb': 12.72, 'compressed_mb': 3.01, 'duration_sec': 3.67}
2026-09-17 16:36:12,095 - JOB [3a359bf0-c78e-4580-b5bd-95d198594e1f] | Action: detect_watermarks | Time: 2026-09-17T16:36:12.095826 | Details: {'total_pages': 10, 'candidates_found': 0, 'sampled': 10, 'warning': None}
2026-09-17 16:36:12,338 - JOB [0da5c99f-02b4-4f87-a19e-cd106a272511] | Action: detect_watermarks | Time: 2026-09-17T16:36:12.338442 | Details: {'total_pages': 10, 'candidates_found': 1, 'sampled': 10, 'warning': None}
2026-09-17 16:36:12,456 - JOB [caed5716-adfb-4058-9932-e598ea23e17a] | Action: watermark_remove_done | Time: 2026-09-17T16:36:12.456563 | Details: {'total_pages': 10, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_caed5716-adfb-4058-9932-e598ea23e17a.pdf'}
